name,type,buy_cost,buy_variation,sale_cost,sale_variation,time,day
bbva,bank,3.65,-0.02,3.8,0.004,08:31:30,19-12-2024
nacion,bank,3.69,0.03,3.77,-0.03,08:31:30,19-12-2024
bcp,bank,3.691,0.0,3.776,0.0,08:31:30,19-12-2024
Interbank,bank,3.695,-0.008,3.765,0.001,08:31:30,19-12-2024
scotiabank,bank,3.715,-0.003,3.753,0.004,08:31:30,19-12-2024
Yuan,currency,0.51,-0.01,0.58,0.0,08:31:30,19-12-2024
canada,currency,2.53,0.05,2.66,-0.02,08:31:30,19-12-2024
euro ocoña,currency,3.994,0.044,4.002,0.002,08:31:30,19-12-2024
Libra,currency,4.755,-0.015,4.885,-0.005,08:31:30,19-12-2024
bbva,bank,3.65,-0.02,3.8,0.004,08:43:53,19-12-2024
nacion,bank,3.69,0.03,3.77,-0.03,08:43:53,19-12-2024
bcp,bank,3.691,0.0,3.776,0.0,08:43:53,19-12-2024
Interbank,bank,3.695,-0.008,3.765,0.001,08:43:53,19-12-2024
scotiabank,bank,3.715,-0.003,3.753,0.004,08:43:53,19-12-2024
Yuan,currency,0.51,-0.01,0.58,0.0,08:43:53,19-12-2024
canada,currency,2.53,0.05,2.66,-0.02,08:43:53,19-12-2024
euro ocoña,currency,3.994,0.044,4.002,0.002,08:43:53,19-12-2024
Libra,currency,4.755,-0.015,4.885,-0.005,08:43:53,19-12-2024
bbva,bank,3.681,0.031,3.809,0.009,09:24:44,19-12-2024
nacion,bank,3.69,0.03,3.77,-0.03,09:24:44,19-12-2024
bcp,bank,3.701,0.01,3.787,0.011,09:24:44,19-12-2024
Interbank,bank,3.713,0.018,3.775,0.01,09:24:44,19-12-2024
scotiabank,bank,3.727,0.012,3.764,0.011,09:24:44,19-12-2024
Yuan,currency,0.51,-0.01,0.58,0.0,09:24:44,19-12-2024
canada,currency,2.53,0.05,2.66,-0.02,09:24:44,19-12-2024
euro ocoña,currency,3.994,0.044,4.002,0.002,09:24:44,19-12-2024
Libra,currency,4.755,-0.015,4.885,-0.005,09:24:44,19-12-2024
bbva,bank,3.681,0.031,3.809,0.009,09:43:56,19-12-2024
nacion,bank,3.69,0.03,3.77,-0.03,09:43:56,19-12-2024
bcp,bank,3.701,0.01,3.787,0.011,09:43:56,19-12-2024
Interbank,bank,3.713,0.018,3.775,0.01,09:43:56,19-12-2024
