name,type,buy_cost,buy_variation,sale_cost,sale_variation,time,day
bbva,bank,3.665,-0.009,3.838,0.01,08:26:13,01-01-2025
bcp,bank,3.712,-0.001,3.8,-0.002,08:26:13,01-01-2025
nacion,bank,3.72,0.0,3.79,0.0,08:26:13,01-01-2025
scotiabank,bank,3.725,0.0,3.795,0.0,08:26:13,01-01-2025
Interbank,bank,3.735,0.0,3.785,0.005,08:26:13,01-01-2025
Yuan,currency,0.51,-0.01,0.58,0.0,08:26:13,01-01-2025
canada,currency,2.47,-0.06,2.68,0.02,08:26:13,01-01-2025
euro ocoña,currency,4.001,0.011,4.009,0.0,08:26:13,01-01-2025
Libra,currency,4.74,-0.01,4.91,0.0,08:26:13,01-01-2025
bbva,bank,3.665,-0.009,3.838,0.01,08:40:01,01-01-2025
bcp,bank,3.712,-0.001,3.8,-0.002,08:40:01,01-01-2025
nacion,bank,3.72,0.0,3.79,0.0,08:40:01,01-01-2025
scotiabank,bank,3.725,0.0,3.795,0.0,08:40:01,01-01-2025
Interbank,bank,3.735,0.0,3.785,0.005,08:40:01,01-01-2025
Yuan,currency,0.51,-0.01,0.58,0.0,08:40:01,01-01-2025
canada,currency,2.47,-0.06,2.68,0.02,08:40:01,01-01-2025
euro ocoña,currency,4.001,0.011,4.009,0.0,08:40:01,01-01-2025
Libra,currency,4.74,-0.01,4.91,0.0,08:40:01,01-01-2025
bbva,bank,3.665,-0.009,3.838,0.01,09:22:12,01-01-2025
bcp,bank,3.712,-0.001,3.8,-0.002,09:22:12,01-01-2025
nacion,bank,3.72,0.0,3.79,0.0,09:22:12,01-01-2025
scotiabank,bank,3.725,0.0,3.795,0.0,09:22:12,01-01-2025
Interbank,bank,3.735,0.0,3.785,0.005,09:22:12,01-01-2025
Yuan,currency,0.51,-0.01,0.58,0.0,09:22:12,01-01-2025
canada,currency,2.47,-0.06,2.68,0.02,09:22:12,01-01-2025
euro ocoña,currency,4.001,0.011,4.009,0.0,09:22:12,01-01-2025
Libra,currency,4.74,-0.01,4.91,0.0,09:22:12,01-01-2025
bbva,bank,3.665,-0.009,3.838,0.01,09:40:49,01-01-2025
bcp,bank,3.712,-0.001,3.8,-0.002,09:40:49,01-01-2025
nacion,bank,3.72,0.0,3.79,0.0,09:40:49,01-01-2025
scotiabank,bank,3.725,0.0,3.795,0.0,09:40:49,01-01-2025
Interbank,bank,3.735,0.0,3.785,0.005,09:40:49,01-01-2025
Yuan,currency,0.51,-0.01,0.58,0.0,09:40:49,01-01-2025
canada,currency,2.47,-0.06,2.68,0.02,09:40:49,01-01-2025
euro ocoña,currency,4.001,0.011,4.009,0.0,09:40:49,01-01-2025
Libra,currency,4.74,-0.01,4.91,0.0,09:40:49,01-01-2025
bbva,bank,3.665,-0.009,3.838,0.01,10:24:21,01-01-2025
bcp,bank,3.712,-0.001,3.8,-0.002,10:24:21,01-01-2025
nacion,bank,3.72,0.0,3.79,0.0,10:24:21,01-01-2025
scotiabank,bank,3.725,0.0,3.795,0.0,10:24:21,01-01-2025
Interbank,bank,3.735,0.0,3.785,0.005,10:24:21,01-01-2025
Yuan,currency,0.51,-0.01,0.58,0.0,10:24:21,01-01-2025
canada,currency,2.47,-0.06,2.68,0.02,10:24:21,01-01-2025
euro ocoña,currency,4.001,0.011,4.009,0.0,10:24:21,01-01-2025
Libra,currency,4.74,-0.01,4.91,0.0,10:24:21,01-01-2025
bbva,bank,3.665,-0.009,3.838,0.01,10:40:27,01-01-2025
bcp,bank,3.712,-0.001,3.8,-0.002,10:40:27,01-01-2025
nacion,bank,3.72,0.0,3.79,0.0,10:40:27,01-01-2025
scotiabank,bank,3.725,0.0,3.795,0.0,10:40:27,01-01-2025
Interbank,bank,3.735,0.0,3.785,0.005,10:40:27,01-01-2025
Yuan,currency,0.51,-0.01,0.58,0.0,10:40:27,01-01-2025
