name,type,buy_cost,buy_variation,sale_cost,sale_variation,time,day
scotiabank,bank,3.667,-0.002,3.845,0.005,08:30:04,24-10-2024
bbva,bank,3.67,-0.021,3.821,0.004,08:30:04,24-10-2024
bcp,bank,3.711,-0.001,3.796,-0.001,08:30:04,24-10-2024
Interbank,bank,3.725,-0.009,3.785,0.01,08:30:04,24-10-2024
nacion,bank,3.73,0.0,3.8,0.0,08:30:04,24-10-2024
Yuan,currency,0.495,-0.005,0.575,0.02,08:30:04,24-10-2024
canada,currency,2.68,0.0,2.8,-0.01,08:30:04,24-10-2024
euro ocoña,currency,4.207,0.005,4.225,0.0,08:30:04,24-10-2024
Libra,currency,5.0,0.0,5.12,-0.03,08:30:04,24-10-2024
scotiabank,bank,3.667,-0.002,3.845,0.005,08:42:58,24-10-2024
bbva,bank,3.67,-0.021,3.821,0.004,08:42:58,24-10-2024
bcp,bank,3.711,-0.001,3.796,-0.001,08:42:58,24-10-2024
Interbank,bank,3.725,-0.009,3.785,0.01,08:42:58,24-10-2024
nacion,bank,3.73,0.0,3.8,0.0,08:42:58,24-10-2024
Yuan,currency,0.495,-0.005,0.575,0.02,08:42:58,24-10-2024
canada,currency,2.68,0.0,2.8,-0.01,08:42:58,24-10-2024
euro ocoña,currency,4.207,0.005,4.225,0.0,08:42:58,24-10-2024
Libra,currency,5.0,0.0,5.12,-0.03,08:42:58,24-10-2024
