name,type,buy_cost,buy_variation,sale_cost,sale_variation,time,day
scotiabank,bank,3.657,-0.005,3.829,-0.011,08:32:28,29-11-2024
bbva,bank,3.678,-0.007,3.806,-0.011,08:32:28,29-11-2024
bcp,bank,3.7,-0.006,3.786,-0.009,08:32:28,29-11-2024
Interbank,bank,3.712,-0.006,3.774,-0.011,08:32:28,29-11-2024
nacion,bank,3.74,-0.02,3.81,-0.02,08:32:28,29-11-2024
Yuan,currency,0.52,0.02,0.58,-0.005,08:32:28,29-11-2024
canada,currency,2.47,0.0,2.69,0.0,08:32:28,29-11-2024
euro ocoña,currency,4.061,-0.004,4.08,-0.005,08:32:28,29-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,08:32:28,29-11-2024
scotiabank,bank,3.657,-0.005,3.829,-0.011,08:45:29,29-11-2024
bbva,bank,3.678,-0.007,3.806,-0.011,08:45:29,29-11-2024
bcp,bank,3.7,-0.006,3.786,-0.009,08:45:29,29-11-2024
Interbank,bank,3.712,-0.006,3.774,-0.011,08:45:29,29-11-2024
nacion,bank,3.74,-0.02,3.81,-0.02,08:45:29,29-11-2024
Yuan,currency,0.52,0.02,0.58,-0.005,08:45:29,29-11-2024
canada,currency,2.47,0.0,2.69,0.0,08:45:29,29-11-2024
euro ocoña,currency,4.061,-0.004,4.08,-0.005,08:45:29,29-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,08:45:29,29-11-2024
bbva,bank,3.679,0.001,3.811,0.005,09:24:54,29-11-2024
bcp,bank,3.702,0.002,3.789,0.003,09:24:54,29-11-2024
Interbank,bank,3.712,0.0,3.779,0.005,09:24:54,29-11-2024
scotiabank,bank,3.727,0.07,3.765,-0.064,09:24:54,29-11-2024
nacion,bank,3.74,-0.02,3.81,-0.02,09:24:54,29-11-2024
Yuan,currency,0.52,0.02,0.58,-0.005,09:24:54,29-11-2024
canada,currency,2.47,0.0,2.69,0.0,09:24:54,29-11-2024
euro ocoña,currency,4.061,-0.004,4.08,-0.005,09:24:54,29-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,09:24:54,29-11-2024
bbva,bank,3.679,0.001,3.811,0.005,09:44:32,29-11-2024
bcp,bank,3.702,0.002,3.789,0.003,09:44:32,29-11-2024
Interbank,bank,3.712,0.0,3.779,0.005,09:44:32,29-11-2024
scotiabank,bank,3.727,0.07,3.765,-0.064,09:44:32,29-11-2024
nacion,bank,3.74,-0.02,3.81,-0.02,09:44:32,29-11-2024
Yuan,currency,0.52,0.02,0.58,-0.005,09:44:32,29-11-2024
canada,currency,2.47,0.0,2.69,0.0,09:44:32,29-11-2024
euro ocoña,currency,4.061,-0.004,4.08,-0.005,09:44:32,29-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,09:44:32,29-11-2024
bbva,bank,3.679,0.001,3.811,0.005,10:26:28,29-11-2024
bcp,bank,3.702,0.002,3.789,0.003,10:26:28,29-11-2024
Interbank,bank,3.712,0.0,3.779,0.005,10:26:28,29-11-2024
scotiabank,bank,3.727,0.07,3.765,-0.064,10:26:28,29-11-2024
nacion,bank,3.74,0.0,3.81,0.0,10:26:28,29-11-2024
Yuan,currency,0.52,0.02,0.58,-0.005,10:26:28,29-11-2024
canada,currency,2.47,0.0,2.69,0.0,10:26:28,29-11-2024
euro ocoña,currency,4.061,-0.004,4.08,-0.005,10:26:28,29-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,10:26:28,29-11-2024
bbva,bank,3.679,0.001,3.811,0.005,10:43:30,29-11-2024
bcp,bank,3.702,0.002,3.789,0.003,10:43:30,29-11-2024
Interbank,bank,3.712,0.0,3.779,0.005,10:43:30,29-11-2024
scotiabank,bank,3.727,0.07,3.765,-0.064,10:43:30,29-11-2024
nacion,bank,3.74,0.0,3.81,0.0,10:43:30,29-11-2024
Yuan,currency,0.52,0.02,0.58,-0.005,10:43:30,29-11-2024
canada,currency,2.47,0.0,2.69,0.0,10:43:30,29-11-2024
euro ocoña,currency,4.05,-0.011,4.07,-0.01,10:43:30,29-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,10:43:30,29-11-2024
bbva,bank,3.679,0.001,3.811,0.005,11:31:28,29-11-2024
bcp,bank,3.702,0.002,3.789,0.003,11:31:28,29-11-2024
Interbank,bank,3.712,0.0,3.779,0.005,11:31:28,29-11-2024
scotiabank,bank,3.727,0.07,3.765,-0.064,11:31:28,29-11-2024
nacion,bank,3.74,0.0,3.81,0.0,11:31:28,29-11-2024
Yuan,currency,0.52,0.02,0.58,-0.005,11:31:28,29-11-2024
canada,currency,2.47,0.0,2.69,0.0,11:31:28,29-11-2024
euro ocoña,currency,4.05,-0.011,4.07,-0.01,11:31:28,29-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,11:31:28,29-11-2024
bbva,bank,3.679,0.001,3.811,0.005,11:48:43,29-11-2024
bcp,bank,3.702,0.002,3.789,0.003,11:48:43,29-11-2024
Interbank,bank,3.712,0.0,3.779,0.005,11:48:43,29-11-2024
scotiabank,bank,3.727,0.07,3.765,-0.064,11:48:43,29-11-2024
nacion,bank,3.74,0.0,3.81,0.0,11:48:43,29-11-2024
Yuan,currency,0.52,0.02,0.58,-0.005,11:48:43,29-11-2024
canada,currency,2.47,0.0,2.69,0.0,11:48:43,29-11-2024
euro ocoña,currency,4.05,-0.011,4.07,-0.01,11:48:43,29-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,11:48:43,29-11-2024
