name,type,buy_cost,buy_variation,sale_cost,sale_variation,time,day
scotiabank,bank,3.675,-0.004,3.853,-0.004,09:24:08,31-10-2024
bbva,bank,3.699,0.027,3.829,-0.004,09:24:08,31-10-2024
bcp,bank,3.719,-0.004,3.81,0.002,09:24:08,31-10-2024
Interbank,bank,3.72,-0.015,3.803,-0.012,09:24:08,31-10-2024
nacion,bank,3.73,-0.01,3.8,-0.01,09:24:08,31-10-2024
Yuan,currency,0.49,-0.002,0.58,0.0,09:24:08,31-10-2024
canada,currency,2.63,0.0,2.783,-0.002,09:24:08,31-10-2024
euro ocoña,currency,4.212,0.0,4.235,0.0,09:24:08,31-10-2024
Libra,currency,4.975,0.005,5.08,0.0,09:24:08,31-10-2024
scotiabank,bank,3.675,-0.004,3.853,-0.004,09:43:19,31-10-2024
bbva,bank,3.699,0.027,3.829,-0.004,09:43:19,31-10-2024
bcp,bank,3.719,-0.004,3.81,0.002,09:43:19,31-10-2024
Interbank,bank,3.72,-0.015,3.803,-0.012,09:43:19,31-10-2024
nacion,bank,3.73,-0.01,3.8,-0.01,09:43:19,31-10-2024
Yuan,currency,0.49,-0.002,0.58,0.0,09:43:19,31-10-2024
canada,currency,2.63,0.0,2.783,-0.002,09:43:19,31-10-2024
euro ocoña,currency,4.212,0.0,4.235,0.0,09:43:19,31-10-2024
Libra,currency,4.975,0.005,5.08,0.0,09:43:19,31-10-2024
scotiabank,bank,3.675,-0.004,3.853,-0.004,10:26:07,31-10-2024
bbva,bank,3.699,0.027,3.829,-0.004,10:26:07,31-10-2024
bcp,bank,3.719,-0.004,3.81,0.002,10:26:07,31-10-2024
Interbank,bank,3.72,-0.015,3.803,-0.012,10:26:07,31-10-2024
nacion,bank,3.73,-0.01,3.8,-0.01,10:26:07,31-10-2024
Yuan,currency,0.49,-0.002,0.58,0.0,10:26:07,31-10-2024
canada,currency,2.63,0.0,2.783,-0.002,10:26:07,31-10-2024
euro ocoña,currency,4.212,0.0,4.235,0.0,10:26:07,31-10-2024
Libra,currency,4.975,0.005,5.08,0.0,10:26:07,31-10-2024
scotiabank,bank,3.675,-0.004,3.853,-0.004,10:42:41,31-10-2024
bbva,bank,3.699,0.027,3.829,-0.004,10:42:41,31-10-2024
bcp,bank,3.719,-0.004,3.81,0.002,10:42:41,31-10-2024
