name,type,buy_cost,buy_variation,sale_cost,sale_variation,time,day
bbva,bank,3.67,-0.025,3.832,0.01,08:33:15,27-11-2024
scotiabank,bank,3.675,0.002,3.855,0.009,08:33:15,27-11-2024
Interbank,bank,3.72,-0.007,3.8,0.01,08:33:15,27-11-2024
bcp,bank,3.721,0.006,3.807,0.005,08:33:15,27-11-2024
nacion,bank,3.76,0.0,3.83,0.0,08:33:15,27-11-2024
Yuan,currency,0.52,0.02,0.58,-0.005,08:33:15,27-11-2024
canada,currency,2.53,0.03,2.72,0.0,08:33:15,27-11-2024
euro ocoña,currency,4.08,-0.002,4.1,0.09,08:33:15,27-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,08:33:15,27-11-2024
bbva,bank,3.67,-0.025,3.832,0.01,08:46:37,27-11-2024
scotiabank,bank,3.675,0.002,3.855,0.009,08:46:37,27-11-2024
Interbank,bank,3.72,-0.007,3.8,0.01,08:46:37,27-11-2024
bcp,bank,3.721,0.006,3.807,0.005,08:46:37,27-11-2024
nacion,bank,3.76,0.0,3.83,0.0,08:46:37,27-11-2024
Yuan,currency,0.52,0.02,0.58,-0.005,08:46:37,27-11-2024
canada,currency,2.53,0.03,2.72,0.0,08:46:37,27-11-2024
euro ocoña,currency,4.08,-0.002,4.1,0.09,08:46:37,27-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,08:46:37,27-11-2024
scotiabank,bank,3.675,0.0,3.85,-0.005,09:25:26,27-11-2024
bbva,bank,3.697,0.027,3.827,-0.005,09:25:26,27-11-2024
bcp,bank,3.717,-0.004,3.807,0.0,09:25:26,27-11-2024
Interbank,bank,3.727,0.007,3.799,-0.001,09:25:26,27-11-2024
nacion,bank,3.76,0.0,3.83,0.0,09:25:26,27-11-2024
Yuan,currency,0.52,0.02,0.58,-0.005,09:25:26,27-11-2024
canada,currency,2.53,0.03,2.72,0.0,09:25:26,27-11-2024
euro ocoña,currency,4.08,-0.002,4.1,0.09,09:25:26,27-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,09:25:26,27-11-2024
scotiabank,bank,3.675,0.0,3.85,-0.005,09:45:22,27-11-2024
bbva,bank,3.697,0.027,3.827,-0.005,09:45:22,27-11-2024
bcp,bank,3.717,-0.004,3.807,0.0,09:45:22,27-11-2024
Interbank,bank,3.727,0.007,3.799,-0.001,09:45:22,27-11-2024
nacion,bank,3.76,0.0,3.83,0.0,09:45:22,27-11-2024
Yuan,currency,0.52,0.02,0.58,-0.005,09:45:22,27-11-2024
canada,currency,2.53,0.03,2.72,0.0,09:45:22,27-11-2024
euro ocoña,currency,4.08,-0.002,4.1,0.09,09:45:22,27-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,09:45:22,27-11-2024
scotiabank,bank,3.675,0.0,3.85,-0.005,10:26:45,27-11-2024
bbva,bank,3.697,0.027,3.827,-0.005,10:26:45,27-11-2024
bcp,bank,3.717,-0.004,3.807,0.0,10:26:45,27-11-2024
Interbank,bank,3.727,0.007,3.799,-0.001,10:26:45,27-11-2024
nacion,bank,3.76,0.0,3.83,0.0,10:26:45,27-11-2024
Yuan,currency,0.52,0.02,0.58,-0.005,10:26:45,27-11-2024
canada,currency,2.53,0.03,2.72,0.0,10:26:45,27-11-2024
euro ocoña,currency,4.08,-0.002,4.1,0.09,10:26:45,27-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,10:26:45,27-11-2024
scotiabank,bank,3.675,0.0,3.85,-0.005,10:44:32,27-11-2024
bbva,bank,3.697,0.027,3.827,-0.005,10:44:32,27-11-2024
bcp,bank,3.717,-0.004,3.807,0.0,10:44:32,27-11-2024
Interbank,bank,3.727,0.007,3.799,-0.001,10:44:32,27-11-2024
nacion,bank,3.76,0.0,3.83,0.0,10:44:32,27-11-2024
