name,type,buy_cost,buy_variation,sale_cost,sale_variation,time,day
scotiabank,bank,3.665,-0.007,3.843,0.0,08:29:42,25-10-2024
bbva,bank,3.668,-0.021,3.821,0.006,08:29:42,25-10-2024
bcp,bank,3.709,-0.001,3.796,0.001,08:29:42,25-10-2024
Interbank,bank,3.725,0.0,3.785,0.0,08:29:42,25-10-2024
nacion,bank,3.73,0.0,3.8,0.0,08:29:42,25-10-2024
Yuan,currency,0.495,-0.005,0.575,0.02,08:29:42,25-10-2024
canada,currency,2.68,0.0,2.8,-0.01,08:29:42,25-10-2024
euro ocoña,currency,4.205,0.0,4.225,0.005,08:29:42,25-10-2024
Libra,currency,5.0,0.0,5.12,-0.03,08:29:42,25-10-2024
scotiabank,bank,3.665,-0.007,3.843,0.0,08:42:20,25-10-2024
bbva,bank,3.668,-0.021,3.821,0.006,08:42:20,25-10-2024
bcp,bank,3.709,-0.001,3.796,0.001,08:42:20,25-10-2024
Interbank,bank,3.725,0.0,3.785,0.0,08:42:20,25-10-2024
nacion,bank,3.73,0.0,3.8,0.0,08:42:20,25-10-2024
Yuan,currency,0.495,-0.005,0.575,0.02,08:42:20,25-10-2024
canada,currency,2.68,0.0,2.8,-0.01,08:42:20,25-10-2024
euro ocoña,currency,4.205,0.0,4.225,0.005,08:42:20,25-10-2024
Libra,currency,5.0,0.0,5.12,-0.03,08:42:20,25-10-2024
scotiabank,bank,3.665,0.0,3.843,0.0,09:23:44,25-10-2024
bbva,bank,3.689,0.021,3.819,-0.002,09:23:44,25-10-2024
bcp,bank,3.71,0.001,3.799,0.003,09:23:44,25-10-2024
nacion,bank,3.73,0.0,3.8,0.0,09:23:44,25-10-2024
Interbank,bank,3.731,0.006,3.777,-0.008,09:23:44,25-10-2024
Yuan,currency,0.495,-0.005,0.575,0.02,09:23:44,25-10-2024
canada,currency,2.68,0.0,2.8,-0.01,09:23:44,25-10-2024
euro ocoña,currency,4.205,0.0,4.225,0.005,09:23:44,25-10-2024
Libra,currency,5.0,0.0,5.12,-0.03,09:23:44,25-10-2024
scotiabank,bank,3.668,0.003,3.842,-0.001,09:42:56,25-10-2024
bbva,bank,3.689,0.021,3.819,-0.002,09:42:56,25-10-2024
bcp,bank,3.71,0.001,3.799,0.003,09:42:56,25-10-2024
nacion,bank,3.73,0.0,3.8,0.0,09:42:56,25-10-2024
Interbank,bank,3.731,0.006,3.777,-0.008,09:42:56,25-10-2024
Yuan,currency,0.495,-0.005,0.575,0.02,09:42:56,25-10-2024
canada,currency,2.68,0.0,2.8,-0.01,09:42:56,25-10-2024
euro ocoña,currency,4.205,0.0,4.225,0.005,09:42:56,25-10-2024
Libra,currency,5.0,0.0,5.12,-0.03,09:42:56,25-10-2024
scotiabank,bank,3.668,0.003,3.842,-0.001,10:25:01,25-10-2024
bbva,bank,3.689,0.021,3.819,-0.002,10:25:01,25-10-2024
bcp,bank,3.71,0.001,3.799,0.003,10:25:01,25-10-2024
nacion,bank,3.73,0.0,3.8,0.0,10:25:01,25-10-2024
Interbank,bank,3.731,0.006,3.777,-0.008,10:25:01,25-10-2024
Yuan,currency,0.495,-0.005,0.575,0.02,10:25:01,25-10-2024
canada,currency,2.68,0.0,2.8,-0.01,10:25:01,25-10-2024
euro ocoña,currency,4.207,0.002,4.225,0.0,10:25:01,25-10-2024
Libra,currency,5.0,0.0,5.12,-0.03,10:25:01,25-10-2024
