name,type,buy_cost,buy_variation,sale_cost,sale_variation,time,day
bbva,bank,3.665,-0.015,3.826,0.014,08:23:57,29-12-2024
nacion,bank,3.7,0.01,3.77,0.01,08:23:57,29-12-2024
bcp,bank,3.705,0.004,3.791,-0.001,08:23:57,29-12-2024
scotiabank,bank,3.72,0.02,3.778,0.008,08:23:57,29-12-2024
Interbank,bank,3.732,0.004,3.763,0.003,08:23:57,29-12-2024
Yuan,currency,0.51,-0.01,0.58,0.0,08:23:57,29-12-2024
canada,currency,2.47,-0.06,2.68,0.02,08:23:57,29-12-2024
euro ocoña,currency,4.001,0.001,4.009,0.0,08:23:57,29-12-2024
Libra,currency,4.75,-0.035,4.91,-0.065,08:23:57,29-12-2024
bbva,bank,3.665,-0.015,3.826,0.014,08:39:40,29-12-2024
nacion,bank,3.7,0.01,3.77,0.01,08:39:40,29-12-2024
bcp,bank,3.705,0.004,3.791,-0.001,08:39:40,29-12-2024
scotiabank,bank,3.72,0.02,3.778,0.008,08:39:40,29-12-2024
Interbank,bank,3.732,0.004,3.763,0.003,08:39:40,29-12-2024
Yuan,currency,0.51,-0.01,0.58,0.0,08:39:40,29-12-2024
canada,currency,2.47,-0.06,2.68,0.02,08:39:40,29-12-2024
euro ocoña,currency,4.001,0.001,4.009,0.0,08:39:40,29-12-2024
Libra,currency,4.75,-0.035,4.91,-0.065,08:39:40,29-12-2024
bbva,bank,3.665,-0.015,3.826,0.014,09:20:27,29-12-2024
nacion,bank,3.7,0.01,3.77,0.01,09:20:27,29-12-2024
bcp,bank,3.705,0.004,3.791,-0.001,09:20:27,29-12-2024
scotiabank,bank,3.72,0.02,3.778,0.008,09:20:27,29-12-2024
Interbank,bank,3.732,0.004,3.763,0.003,09:20:27,29-12-2024
Yuan,currency,0.51,-0.01,0.58,0.0,09:20:27,29-12-2024
canada,currency,2.47,-0.06,2.68,0.02,09:20:27,29-12-2024
euro ocoña,currency,4.001,0.001,4.009,0.0,09:20:27,29-12-2024
Libra,currency,4.75,-0.035,4.91,-0.065,09:20:27,29-12-2024
bbva,bank,3.665,-0.015,3.826,0.014,09:39:58,29-12-2024
nacion,bank,3.7,0.01,3.77,0.01,09:39:58,29-12-2024
bcp,bank,3.705,0.004,3.791,-0.001,09:39:58,29-12-2024
scotiabank,bank,3.72,0.02,3.778,0.008,09:39:58,29-12-2024
Interbank,bank,3.732,0.004,3.763,0.003,09:39:58,29-12-2024
Yuan,currency,0.51,-0.01,0.58,0.0,09:39:58,29-12-2024
canada,currency,2.47,-0.06,2.68,0.02,09:39:58,29-12-2024
euro ocoña,currency,4.001,0.001,4.009,0.0,09:39:58,29-12-2024
Libra,currency,4.75,-0.035,4.91,-0.065,09:39:58,29-12-2024
bbva,bank,3.665,-0.015,3.826,0.014,10:21:41,29-12-2024
nacion,bank,3.7,0.01,3.77,0.01,10:21:41,29-12-2024
bcp,bank,3.705,0.004,3.791,-0.001,10:21:41,29-12-2024
scotiabank,bank,3.72,0.02,3.778,0.008,10:21:41,29-12-2024
Interbank,bank,3.732,0.004,3.763,0.003,10:21:41,29-12-2024
Yuan,currency,0.51,-0.01,0.58,0.0,10:21:41,29-12-2024
canada,currency,2.47,-0.06,2.68,0.02,10:21:41,29-12-2024
euro ocoña,currency,4.001,0.001,4.009,0.0,10:21:41,29-12-2024
Libra,currency,4.75,-0.035,4.91,-0.065,10:21:41,29-12-2024
bbva,bank,3.665,-0.015,3.826,0.014,10:39:41,29-12-2024
nacion,bank,3.7,0.01,3.77,0.01,10:39:41,29-12-2024
bcp,bank,3.705,0.004,3.791,-0.001,10:39:41,29-12-2024
scotiabank,bank,3.72,0.02,3.778,0.008,10:39:41,29-12-2024
Interbank,bank,3.732,0.004,3.763,0.003,10:39:41,29-12-2024
Yuan,currency,0.51,-0.01,0.58,0.0,10:39:41,29-12-2024
canada,currency,2.47,-0.06,2.68,0.02,10:39:41,29-12-2024
euro ocoña,currency,4.001,0.001,4.009,0.0,10:39:41,29-12-2024
Libra,currency,4.75,-0.035,4.91,-0.065,10:39:41,29-12-2024
bbva,bank,3.665,-0.015,3.826,0.014,11:26:28,29-12-2024
nacion,bank,3.7,0.01,3.77,0.01,11:26:28,29-12-2024
bcp,bank,3.705,0.004,3.791,-0.001,11:26:28,29-12-2024
scotiabank,bank,3.72,0.02,3.778,0.008,11:26:28,29-12-2024
Interbank,bank,3.732,0.004,3.763,0.003,11:26:28,29-12-2024
Yuan,currency,0.51,-0.01,0.58,0.0,11:26:28,29-12-2024
canada,currency,2.47,-0.06,2.68,0.02,11:26:28,29-12-2024
euro ocoña,currency,4.001,0.001,4.009,0.0,11:26:28,29-12-2024
Libra,currency,4.75,-0.035,4.91,-0.065,11:26:28,29-12-2024
bbva,bank,3.665,-0.015,3.826,0.014,11:42:45,29-12-2024
nacion,bank,3.7,0.01,3.77,0.01,11:42:45,29-12-2024
bcp,bank,3.705,0.004,3.791,-0.001,11:42:45,29-12-2024
scotiabank,bank,3.72,0.02,3.778,0.008,11:42:45,29-12-2024
Interbank,bank,3.732,0.004,3.763,0.003,11:42:45,29-12-2024
Yuan,currency,0.51,-0.01,0.58,0.0,11:42:45,29-12-2024
canada,currency,2.47,-0.06,2.68,0.02,11:42:45,29-12-2024
euro ocoña,currency,4.001,0.001,4.009,0.0,11:42:45,29-12-2024
Libra,currency,4.75,-0.035,4.91,-0.065,11:42:45,29-12-2024
bbva,bank,3.665,-0.015,3.826,0.014,12:20:14,29-12-2024
nacion,bank,3.7,0.01,3.77,0.01,12:20:14,29-12-2024
bcp,bank,3.705,0.004,3.791,-0.001,12:20:14,29-12-2024
scotiabank,bank,3.72,0.02,3.778,0.008,12:20:14,29-12-2024
Interbank,bank,3.732,0.004,3.763,0.003,12:20:14,29-12-2024
Yuan,currency,0.51,-0.01,0.58,0.0,12:20:14,29-12-2024
canada,currency,2.47,-0.06,2.68,0.02,12:20:14,29-12-2024
euro ocoña,currency,4.001,0.001,4.009,0.0,12:20:14,29-12-2024
Libra,currency,4.75,-0.035,4.91,-0.065,12:20:14,29-12-2024
bbva,bank,3.665,-0.015,3.826,0.014,12:40:15,29-12-2024
nacion,bank,3.7,0.01,3.77,0.01,12:40:15,29-12-2024
bcp,bank,3.705,0.004,3.791,-0.001,12:40:15,29-12-2024
scotiabank,bank,3.72,0.02,3.778,0.008,12:40:15,29-12-2024
Interbank,bank,3.732,0.004,3.763,0.003,12:40:15,29-12-2024
Yuan,currency,0.51,-0.01,0.58,0.0,12:40:15,29-12-2024
canada,currency,2.47,-0.06,2.68,0.02,12:40:15,29-12-2024
euro ocoña,currency,4.001,0.001,4.009,0.0,12:40:15,29-12-2024
Libra,currency,4.75,-0.035,4.91,-0.065,12:40:15,29-12-2024
bbva,bank,3.665,-0.015,3.826,0.014,13:29:16,29-12-2024
nacion,bank,3.7,0.01,3.77,0.01,13:29:16,29-12-2024
bcp,bank,3.705,0.004,3.791,-0.001,13:29:16,29-12-2024
scotiabank,bank,3.72,0.02,3.778,0.008,13:29:16,29-12-2024
Interbank,bank,3.732,0.004,3.763,0.003,13:29:16,29-12-2024
Yuan,currency,0.51,-0.01,0.58,0.0,13:29:16,29-12-2024
canada,currency,2.47,-0.06,2.68,0.02,13:29:16,29-12-2024
euro ocoña,currency,4.001,0.001,4.009,0.0,13:29:16,29-12-2024
Libra,currency,4.75,-0.035,4.91,-0.065,13:29:16,29-12-2024
bbva,bank,3.665,-0.015,3.826,0.014,13:42:57,29-12-2024
nacion,bank,3.7,0.01,3.77,0.01,13:42:57,29-12-2024
bcp,bank,3.705,0.004,3.791,-0.001,13:42:57,29-12-2024
scotiabank,bank,3.72,0.02,3.778,0.008,13:42:57,29-12-2024
Interbank,bank,3.732,0.004,3.763,0.003,13:42:57,29-12-2024
Yuan,currency,0.51,-0.01,0.58,0.0,13:42:57,29-12-2024
canada,currency,2.47,-0.06,2.68,0.02,13:42:57,29-12-2024
euro ocoña,currency,4.001,0.001,4.009,0.0,13:42:57,29-12-2024
Libra,currency,4.75,-0.035,4.91,-0.065,13:42:57,29-12-2024
