name,type,buy_cost,buy_variation,sale_cost,sale_variation,time,day
scotiabank,bank,3.662,-0.017,3.84,-0.014,08:30:08,23-10-2024
bbva,bank,3.668,-0.021,3.819,0.003,08:30:08,23-10-2024
bcp,bank,3.708,-0.002,3.794,-0.002,08:30:08,23-10-2024
Interbank,bank,3.725,-0.007,3.785,0.011,08:30:08,23-10-2024
nacion,bank,3.73,0.0,3.8,0.0,08:30:08,23-10-2024
Yuan,currency,0.495,-0.005,0.575,0.02,08:30:08,23-10-2024
canada,currency,2.68,0.0,2.8,-0.01,08:30:08,23-10-2024
euro ocoña,currency,4.213,-0.002,4.23,-0.005,08:30:08,23-10-2024
Libra,currency,5.0,0.0,5.12,-0.03,08:30:08,23-10-2024
