name,type,buy_cost,buy_variation,sale_cost,sale_variation,time,day
bbva,bank,3.697,-0.033,3.86,0.002,08:31:13,22-11-2024
bcp,bank,3.748,-0.004,3.834,-0.003,08:31:13,22-11-2024
Interbank,bank,3.75,-0.014,3.83,0.005,08:31:13,22-11-2024
nacion,bank,3.76,0.0,3.83,0.0,08:31:13,22-11-2024
scotiabank,bank,3.782,-0.002,3.807,-0.003,08:31:13,22-11-2024
Yuan,currency,0.5,0.0,0.585,0.0,08:31:13,22-11-2024
canada,currency,2.5,0.0,2.72,0.0,08:31:13,22-11-2024
euro ocoña,currency,4.12,-0.015,4.14,-0.015,08:31:13,22-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,08:31:13,22-11-2024
