name,type,buy_cost,buy_variation,sale_cost,sale_variation,time,day
bbva,bank,3.671,-0.039,3.834,-0.002,08:24:06,09-11-2024
bcp,bank,3.722,-0.008,3.809,-0.006,08:24:06,09-11-2024
Interbank,bank,3.725,-0.017,3.805,0.002,08:24:06,09-11-2024
nacion,bank,3.73,0.0,3.8,0.0,08:24:06,09-11-2024
scotiabank,bank,3.748,-0.011,3.782,-0.001,08:24:06,09-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,08:24:06,09-11-2024
canada,currency,2.635,0.005,2.783,0.0,08:24:06,09-11-2024
euro ocoña,currency,4.175,-0.009,4.195,-0.01,08:24:06,09-11-2024
Libra,currency,4.92,-0.055,5.06,-0.02,08:24:06,09-11-2024
bbva,bank,3.671,-0.039,3.834,-0.002,08:40:01,09-11-2024
bcp,bank,3.722,-0.008,3.809,-0.006,08:40:01,09-11-2024
Interbank,bank,3.725,-0.017,3.805,0.002,08:40:01,09-11-2024
nacion,bank,3.73,0.0,3.8,0.0,08:40:01,09-11-2024
scotiabank,bank,3.748,-0.011,3.782,-0.001,08:40:01,09-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,08:40:01,09-11-2024
canada,currency,2.635,0.005,2.783,0.0,08:40:01,09-11-2024
euro ocoña,currency,4.175,-0.009,4.195,-0.01,08:40:01,09-11-2024
Libra,currency,4.92,-0.055,5.06,-0.02,08:40:01,09-11-2024
bbva,bank,3.671,-0.039,3.834,-0.002,09:21:18,09-11-2024
bcp,bank,3.722,-0.008,3.809,-0.006,09:21:18,09-11-2024
Interbank,bank,3.725,-0.017,3.805,0.002,09:21:18,09-11-2024
nacion,bank,3.73,0.0,3.8,0.0,09:21:18,09-11-2024
scotiabank,bank,3.748,-0.011,3.782,-0.001,09:21:18,09-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,09:21:18,09-11-2024
canada,currency,2.635,0.005,2.783,0.0,09:21:18,09-11-2024
euro ocoña,currency,4.175,-0.009,4.195,-0.01,09:21:18,09-11-2024
Libra,currency,4.92,-0.055,5.06,-0.02,09:21:18,09-11-2024
bbva,bank,3.671,-0.039,3.834,-0.002,09:39:58,09-11-2024
bcp,bank,3.722,-0.008,3.809,-0.006,09:39:58,09-11-2024
Interbank,bank,3.725,-0.017,3.805,0.002,09:39:58,09-11-2024
nacion,bank,3.73,0.0,3.8,0.0,09:39:58,09-11-2024
scotiabank,bank,3.748,-0.011,3.782,-0.001,09:39:58,09-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,09:39:58,09-11-2024
canada,currency,2.635,0.005,2.783,0.0,09:39:58,09-11-2024
euro ocoña,currency,4.175,-0.009,4.195,-0.01,09:39:58,09-11-2024
Libra,currency,4.92,-0.055,5.06,-0.02,09:39:58,09-11-2024
bbva,bank,3.671,-0.039,3.834,-0.002,10:24:05,09-11-2024
bcp,bank,3.722,-0.008,3.809,-0.006,10:24:05,09-11-2024
Interbank,bank,3.725,-0.017,3.805,0.002,10:24:05,09-11-2024
nacion,bank,3.73,0.0,3.8,0.0,10:24:05,09-11-2024
scotiabank,bank,3.748,-0.011,3.782,-0.001,10:24:05,09-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,10:24:05,09-11-2024
canada,currency,2.635,0.005,2.783,0.0,10:24:05,09-11-2024
euro ocoña,currency,4.17,-0.005,4.19,-0.005,10:24:05,09-11-2024
Libra,currency,4.92,-0.055,5.06,-0.02,10:24:05,09-11-2024
bbva,bank,3.671,-0.039,3.834,-0.002,10:40:41,09-11-2024
bcp,bank,3.722,-0.008,3.809,-0.006,10:40:41,09-11-2024
Interbank,bank,3.725,-0.017,3.805,0.002,10:40:41,09-11-2024
nacion,bank,3.73,0.0,3.8,0.0,10:40:41,09-11-2024
scotiabank,bank,3.748,-0.011,3.782,-0.001,10:40:41,09-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,10:40:41,09-11-2024
canada,currency,2.635,0.005,2.783,0.0,10:40:41,09-11-2024
euro ocoña,currency,4.17,-0.005,4.19,-0.005,10:40:41,09-11-2024
Libra,currency,4.92,-0.055,5.06,-0.02,10:40:41,09-11-2024
bbva,bank,3.671,-0.039,3.834,-0.002,11:26:26,09-11-2024
bcp,bank,3.722,-0.008,3.809,-0.006,11:26:26,09-11-2024
Interbank,bank,3.725,-0.017,3.805,0.002,11:26:26,09-11-2024
nacion,bank,3.73,0.0,3.8,0.0,11:26:26,09-11-2024
scotiabank,bank,3.748,-0.011,3.782,-0.001,11:26:26,09-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,11:26:26,09-11-2024
canada,currency,2.635,0.005,2.783,0.0,11:26:26,09-11-2024
euro ocoña,currency,4.17,-0.005,4.19,-0.005,11:26:26,09-11-2024
