name,type,buy_cost,buy_variation,sale_cost,sale_variation,time,day
bbva,bank,3.694,-0.035,3.856,-0.002,08:32:48,25-11-2024
bcp,bank,3.745,-0.007,3.83,-0.007,08:32:48,25-11-2024
Interbank,bank,3.75,-0.014,3.83,0.005,08:32:48,25-11-2024
nacion,bank,3.76,0.0,3.83,0.0,08:32:48,25-11-2024
scotiabank,bank,3.77,-0.014,3.807,-0.003,08:32:48,25-11-2024
Yuan,currency,0.52,0.02,0.58,-0.005,08:32:48,25-11-2024
canada,currency,2.53,0.03,2.72,0.0,08:32:48,25-11-2024
euro ocoña,currency,4.075,-0.045,4.095,-0.045,08:32:48,25-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,08:32:48,25-11-2024
bbva,bank,3.694,-0.035,3.856,-0.002,08:45:59,25-11-2024
bcp,bank,3.745,-0.007,3.83,-0.007,08:45:59,25-11-2024
Interbank,bank,3.75,-0.014,3.83,0.005,08:45:59,25-11-2024
nacion,bank,3.76,0.0,3.83,0.0,08:45:59,25-11-2024
scotiabank,bank,3.77,-0.014,3.807,-0.003,08:45:59,25-11-2024
Yuan,currency,0.52,0.02,0.58,-0.005,08:45:59,25-11-2024
canada,currency,2.53,0.03,2.72,0.0,08:45:59,25-11-2024
euro ocoña,currency,4.075,-0.045,4.095,-0.045,08:45:59,25-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,08:45:59,25-11-2024
bbva,bank,3.702,0.008,3.848,-0.008,09:25:30,25-11-2024
Interbank,bank,3.735,-0.015,3.815,-0.015,09:25:30,25-11-2024
bcp,bank,3.743,-0.002,3.827,-0.003,09:25:30,25-11-2024
scotiabank,bank,3.753,-0.017,3.792,-0.015,09:25:30,25-11-2024
nacion,bank,3.76,0.0,3.83,0.0,09:25:30,25-11-2024
Yuan,currency,0.52,0.02,0.58,-0.005,09:25:30,25-11-2024
canada,currency,2.53,0.03,2.72,0.0,09:25:30,25-11-2024
euro ocoña,currency,4.075,-0.045,4.095,-0.045,09:25:30,25-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,09:25:30,25-11-2024
bbva,bank,3.702,0.008,3.848,-0.008,09:45:10,25-11-2024
Interbank,bank,3.735,-0.015,3.815,-0.015,09:45:10,25-11-2024
bcp,bank,3.743,-0.002,3.827,-0.003,09:45:10,25-11-2024
scotiabank,bank,3.753,-0.017,3.792,-0.015,09:45:10,25-11-2024
nacion,bank,3.76,0.0,3.83,0.0,09:45:10,25-11-2024
Yuan,currency,0.52,0.02,0.58,-0.005,09:45:10,25-11-2024
canada,currency,2.53,0.03,2.72,0.0,09:45:10,25-11-2024
euro ocoña,currency,4.075,-0.045,4.095,-0.045,09:45:10,25-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,09:45:10,25-11-2024
bbva,bank,3.702,0.008,3.848,-0.008,10:26:50,25-11-2024
Interbank,bank,3.735,-0.015,3.815,-0.015,10:26:50,25-11-2024
bcp,bank,3.743,-0.002,3.827,-0.003,10:26:50,25-11-2024
scotiabank,bank,3.753,-0.017,3.792,-0.015,10:26:50,25-11-2024
nacion,bank,3.76,0.0,3.83,0.0,10:26:50,25-11-2024
Yuan,currency,0.52,0.02,0.58,-0.005,10:26:50,25-11-2024
canada,currency,2.53,0.03,2.72,0.0,10:26:50,25-11-2024
euro ocoña,currency,4.08,0.005,4.01,-0.085,10:26:50,25-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,10:26:50,25-11-2024
bbva,bank,3.702,0.008,3.848,-0.008,10:44:23,25-11-2024
Interbank,bank,3.735,-0.015,3.815,-0.015,10:44:23,25-11-2024
bcp,bank,3.743,-0.002,3.827,-0.003,10:44:23,25-11-2024
scotiabank,bank,3.753,-0.017,3.792,-0.015,10:44:23,25-11-2024
nacion,bank,3.76,0.0,3.83,0.0,10:44:23,25-11-2024
Yuan,currency,0.52,0.02,0.58,-0.005,10:44:23,25-11-2024
canada,currency,2.53,0.03,2.72,0.0,10:44:23,25-11-2024
euro ocoña,currency,4.08,0.005,4.01,-0.085,10:44:23,25-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,10:44:23,25-11-2024
bbva,bank,3.702,0.008,3.848,-0.008,11:31:44,25-11-2024
Interbank,bank,3.735,-0.015,3.815,-0.015,11:31:44,25-11-2024
bcp,bank,3.743,-0.002,3.827,-0.003,11:31:44,25-11-2024
scotiabank,bank,3.753,-0.017,3.792,-0.015,11:31:44,25-11-2024
nacion,bank,3.76,0.0,3.83,0.0,11:31:44,25-11-2024
Yuan,currency,0.52,0.02,0.58,-0.005,11:31:44,25-11-2024
canada,currency,2.53,0.03,2.72,0.0,11:31:44,25-11-2024
euro ocoña,currency,4.08,0.005,4.01,-0.085,11:31:44,25-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,11:31:44,25-11-2024
bbva,bank,3.702,0.008,3.848,-0.008,11:49:43,25-11-2024
Interbank,bank,3.735,-0.015,3.815,-0.015,11:49:43,25-11-2024
bcp,bank,3.743,-0.002,3.827,-0.003,11:49:43,25-11-2024
scotiabank,bank,3.753,-0.017,3.792,-0.015,11:49:43,25-11-2024
nacion,bank,3.76,0.0,3.83,0.0,11:49:43,25-11-2024
Yuan,currency,0.52,0.02,0.58,-0.005,11:49:43,25-11-2024
canada,currency,2.53,0.03,2.72,0.0,11:49:43,25-11-2024
euro ocoña,currency,4.08,0.005,4.01,-0.085,11:49:43,25-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,11:49:43,25-11-2024
scotiabank,bank,3.689,-0.064,3.861,0.069,12:23:35,25-11-2024
bbva,bank,3.711,0.009,3.838,-0.01,12:23:35,25-11-2024
bcp,bank,3.732,-0.011,3.818,-0.009,12:23:35,25-11-2024
Interbank,bank,3.744,0.009,3.806,-0.009,12:23:35,25-11-2024
nacion,bank,3.76,0.0,3.83,0.0,12:23:35,25-11-2024
Yuan,currency,0.52,0.02,0.58,-0.005,12:23:35,25-11-2024
canada,currency,2.53,0.03,2.72,0.0,12:23:35,25-11-2024
euro ocoña,currency,4.08,0.005,4.01,-0.085,12:23:35,25-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,12:23:35,25-11-2024
scotiabank,bank,3.689,-0.064,3.861,0.069,12:42:34,25-11-2024
bbva,bank,3.711,0.009,3.838,-0.01,12:42:34,25-11-2024
bcp,bank,3.732,-0.011,3.818,-0.009,12:42:34,25-11-2024
Interbank,bank,3.744,0.009,3.806,-0.009,12:42:34,25-11-2024
nacion,bank,3.76,0.0,3.83,0.0,12:42:34,25-11-2024
Yuan,currency,0.52,0.02,0.58,-0.005,12:42:34,25-11-2024
canada,currency,2.53,0.03,2.72,0.0,12:42:34,25-11-2024
euro ocoña,currency,4.082,0.002,4.01,0.0,12:42:34,25-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,12:42:34,25-11-2024
scotiabank,bank,3.689,-0.064,3.861,0.069,13:33:22,25-11-2024
bbva,bank,3.711,0.009,3.838,-0.01,13:33:22,25-11-2024
bcp,bank,3.732,-0.011,3.818,-0.009,13:33:22,25-11-2024
Interbank,bank,3.744,0.009,3.806,-0.009,13:33:22,25-11-2024
nacion,bank,3.76,0.0,3.83,0.0,13:33:22,25-11-2024
Yuan,currency,0.52,0.02,0.58,-0.005,13:33:22,25-11-2024
canada,currency,2.53,0.03,2.72,0.0,13:33:22,25-11-2024
euro ocoña,currency,4.082,0.0,4.01,0.0,13:33:22,25-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,13:33:22,25-11-2024
scotiabank,bank,3.689,-0.064,3.861,0.069,13:49:04,25-11-2024
bbva,bank,3.711,0.009,3.838,-0.01,13:49:04,25-11-2024
bcp,bank,3.732,-0.011,3.818,-0.009,13:49:04,25-11-2024
Interbank,bank,3.744,0.009,3.806,-0.009,13:49:04,25-11-2024
nacion,bank,3.76,0.0,3.83,0.0,13:49:04,25-11-2024
Yuan,currency,0.52,0.02,0.58,-0.005,13:49:04,25-11-2024
canada,currency,2.53,0.03,2.72,0.0,13:49:04,25-11-2024
euro ocoña,currency,4.082,0.0,4.01,0.0,13:49:04,25-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,13:49:04,25-11-2024
bbva,bank,3.68,-0.031,3.841,0.003,14:19:21,25-11-2024
scotiabank,bank,3.683,-0.006,3.861,0.0,14:19:21,25-11-2024
Interbank,bank,3.73,-0.014,3.81,0.004,14:19:21,25-11-2024
bcp,bank,3.731,-0.001,3.816,-0.002,14:19:21,25-11-2024
nacion,bank,3.76,0.0,3.83,0.0,14:19:21,25-11-2024
Yuan,currency,0.52,0.02,0.58,-0.005,14:19:21,25-11-2024
canada,currency,2.53,0.03,2.72,0.0,14:19:21,25-11-2024
euro ocoña,currency,4.082,0.0,4.01,0.0,14:19:21,25-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,14:19:21,25-11-2024
bbva,bank,3.68,-0.031,3.841,0.003,14:39:55,25-11-2024
scotiabank,bank,3.683,-0.006,3.861,0.0,14:39:55,25-11-2024
Interbank,bank,3.73,-0.014,3.81,0.004,14:39:55,25-11-2024
bcp,bank,3.731,-0.001,3.816,-0.002,14:39:55,25-11-2024
nacion,bank,3.76,0.0,3.83,0.0,14:39:55,25-11-2024
Yuan,currency,0.52,0.02,0.58,-0.005,14:39:55,25-11-2024
canada,currency,2.53,0.03,2.72,0.0,14:39:55,25-11-2024
euro ocoña,currency,4.082,0.0,4.01,0.0,14:39:55,25-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,14:39:55,25-11-2024
bbva,bank,3.68,-0.031,3.841,0.003,15:27:00,25-11-2024
scotiabank,bank,3.683,-0.006,3.861,0.0,15:27:00,25-11-2024
Interbank,bank,3.73,-0.014,3.81,0.004,15:27:00,25-11-2024
bcp,bank,3.731,-0.001,3.816,-0.002,15:27:00,25-11-2024
nacion,bank,3.76,0.0,3.83,0.0,15:27:00,25-11-2024
Yuan,currency,0.52,0.02,0.58,-0.005,15:27:00,25-11-2024
canada,currency,2.53,0.03,2.72,0.0,15:27:00,25-11-2024
euro ocoña,currency,4.082,0.0,4.01,0.0,15:27:00,25-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,15:27:00,25-11-2024
bbva,bank,3.68,-0.031,3.841,0.003,15:43:41,25-11-2024
scotiabank,bank,3.683,-0.006,3.861,0.0,15:43:41,25-11-2024
Interbank,bank,3.73,-0.014,3.81,0.004,15:43:41,25-11-2024
bcp,bank,3.731,-0.001,3.816,-0.002,15:43:41,25-11-2024
nacion,bank,3.76,0.0,3.83,0.0,15:43:41,25-11-2024
Yuan,currency,0.52,0.02,0.58,-0.005,15:43:41,25-11-2024
canada,currency,2.53,0.03,2.72,0.0,15:43:41,25-11-2024
euro ocoña,currency,4.082,0.0,4.01,0.0,15:43:41,25-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,15:43:41,25-11-2024
bbva,bank,3.68,-0.031,3.841,0.003,16:23:17,25-11-2024
scotiabank,bank,3.683,-0.006,3.861,0.0,16:23:17,25-11-2024
Interbank,bank,3.73,-0.014,3.81,0.004,16:23:17,25-11-2024
bcp,bank,3.731,-0.001,3.816,-0.002,16:23:17,25-11-2024
nacion,bank,3.76,0.0,3.83,0.0,16:23:17,25-11-2024
Yuan,currency,0.52,0.02,0.58,-0.005,16:23:17,25-11-2024
canada,currency,2.53,0.03,2.72,0.0,16:23:17,25-11-2024
euro ocoña,currency,4.082,0.0,4.01,0.0,16:23:17,25-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,16:23:17,25-11-2024
bbva,bank,3.68,-0.031,3.841,0.003,16:41:22,25-11-2024
scotiabank,bank,3.683,-0.006,3.861,0.0,16:41:22,25-11-2024
Interbank,bank,3.73,-0.014,3.81,0.004,16:41:22,25-11-2024
bcp,bank,3.731,-0.001,3.816,-0.002,16:41:22,25-11-2024
nacion,bank,3.76,0.0,3.83,0.0,16:41:22,25-11-2024
Yuan,currency,0.52,0.02,0.58,-0.005,16:41:22,25-11-2024
canada,currency,2.53,0.03,2.72,0.0,16:41:22,25-11-2024
euro ocoña,currency,4.082,0.0,4.01,0.0,16:41:22,25-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,16:41:22,25-11-2024
bbva,bank,3.68,-0.031,3.841,0.003,17:23:25,25-11-2024
scotiabank,bank,3.683,-0.006,3.861,0.0,17:23:25,25-11-2024
Interbank,bank,3.73,-0.014,3.81,0.004,17:23:25,25-11-2024
bcp,bank,3.731,-0.001,3.816,-0.002,17:23:25,25-11-2024
nacion,bank,3.76,0.0,3.83,0.0,17:23:25,25-11-2024
Yuan,currency,0.52,0.02,0.58,-0.005,17:23:25,25-11-2024
canada,currency,2.53,0.03,2.72,0.0,17:23:25,25-11-2024
euro ocoña,currency,4.082,0.0,4.01,0.0,17:23:25,25-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,17:23:25,25-11-2024
bbva,bank,3.68,-0.031,3.841,0.003,17:43:13,25-11-2024
scotiabank,bank,3.683,-0.006,3.861,0.0,17:43:13,25-11-2024
Interbank,bank,3.73,-0.014,3.81,0.004,17:43:13,25-11-2024
bcp,bank,3.731,-0.001,3.816,-0.002,17:43:13,25-11-2024
nacion,bank,3.76,0.0,3.83,0.0,17:43:13,25-11-2024
Yuan,currency,0.52,0.02,0.58,-0.005,17:43:13,25-11-2024
canada,currency,2.53,0.03,2.72,0.0,17:43:13,25-11-2024
euro ocoña,currency,4.082,0.0,4.01,0.0,17:43:13,25-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,17:43:13,25-11-2024
