name,type,buy_cost,buy_variation,sale_cost,sale_variation,time,day
bbva,bank,3.651,-0.009,3.841,0.037,08:24:51,20-08-2024
scotiabank,bank,3.653,0.006,3.824,0.007,08:24:51,20-08-2024
Interbank,bank,3.675,-0.002,3.795,0.017,08:24:51,20-08-2024
bcp,bank,3.696,0.006,3.782,0.007,08:24:51,20-08-2024
nacion,bank,3.71,0.0,3.77,-0.01,08:24:51,20-08-2024
Yuan,currency,0.45,-0.01,0.54,0.0,08:24:51,20-08-2024
canada,currency,2.65,-0.04,2.795,-0.005,08:24:51,20-08-2024
euro ocoña,currency,4.185,0.015,4.205,0.015,08:24:51,20-08-2024
Libra,currency,4.85,-0.01,4.99,0.0,08:24:51,20-08-2024
bbva,bank,3.651,-0.009,3.841,0.037,08:39:41,20-08-2024
scotiabank,bank,3.653,0.006,3.824,0.007,08:39:41,20-08-2024
Interbank,bank,3.675,-0.002,3.795,0.017,08:39:41,20-08-2024
bcp,bank,3.696,0.006,3.782,0.007,08:39:41,20-08-2024
nacion,bank,3.71,0.0,3.77,-0.01,08:39:41,20-08-2024
Yuan,currency,0.45,-0.01,0.54,0.0,08:39:41,20-08-2024
canada,currency,2.65,-0.04,2.795,-0.005,08:39:41,20-08-2024
euro ocoña,currency,4.185,0.015,4.205,0.015,08:39:41,20-08-2024
Libra,currency,4.85,-0.01,4.99,0.0,08:39:41,20-08-2024
