name,type,buy_cost,buy_variation,sale_cost,sale_variation,time,day
scotiabank,bank,3.68,-0.003,3.852,-0.003,08:28:01,05-11-2024
bbva,bank,3.689,-0.015,3.841,0.011,08:28:01,05-11-2024
bcp,bank,3.73,0.005,3.816,0.005,08:28:01,05-11-2024
nacion,bank,3.73,0.0,3.8,0.0,08:28:01,05-11-2024
Interbank,bank,3.739,0.003,3.799,0.002,08:28:01,05-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,08:28:01,05-11-2024
canada,currency,2.63,0.0,2.783,-0.002,08:28:01,05-11-2024
euro ocoña,currency,4.204,0.001,4.22,-0.002,08:28:01,05-11-2024
Libra,currency,4.975,0.005,5.08,0.0,08:28:01,05-11-2024
scotiabank,bank,3.68,-0.003,3.852,-0.003,08:41:05,05-11-2024
bbva,bank,3.689,-0.015,3.841,0.011,08:41:05,05-11-2024
bcp,bank,3.73,0.005,3.816,0.005,08:41:05,05-11-2024
nacion,bank,3.73,0.0,3.8,0.0,08:41:05,05-11-2024
Interbank,bank,3.739,0.003,3.799,0.002,08:41:05,05-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,08:41:05,05-11-2024
canada,currency,2.63,0.0,2.783,-0.002,08:41:05,05-11-2024
euro ocoña,currency,4.204,0.001,4.22,-0.002,08:41:05,05-11-2024
Libra,currency,4.975,0.005,5.08,0.0,08:41:05,05-11-2024
scotiabank,bank,3.681,0.001,3.86,0.008,09:23:35,05-11-2024
bbva,bank,3.699,0.01,3.842,0.001,09:23:35,05-11-2024
bcp,bank,3.724,-0.006,3.817,0.001,09:23:35,05-11-2024
nacion,bank,3.73,0.0,3.8,0.0,09:23:35,05-11-2024
Interbank,bank,3.785,0.046,3.76,-0.039,09:23:35,05-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,09:23:35,05-11-2024
canada,currency,2.63,0.0,2.783,-0.002,09:23:35,05-11-2024
euro ocoña,currency,4.204,0.001,4.22,-0.002,09:23:35,05-11-2024
Libra,currency,4.975,0.005,5.08,0.0,09:23:35,05-11-2024
scotiabank,bank,3.681,0.001,3.86,0.008,09:42:31,05-11-2024
bbva,bank,3.699,0.01,3.842,0.001,09:42:31,05-11-2024
bcp,bank,3.724,-0.006,3.817,0.001,09:42:31,05-11-2024
nacion,bank,3.73,0.0,3.8,0.0,09:42:31,05-11-2024
Interbank,bank,3.785,0.046,3.76,-0.039,09:42:31,05-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,09:42:31,05-11-2024
canada,currency,2.63,0.0,2.783,-0.002,09:42:31,05-11-2024
euro ocoña,currency,4.204,0.001,4.22,-0.002,09:42:31,05-11-2024
Libra,currency,4.975,0.005,5.08,0.0,09:42:31,05-11-2024
scotiabank,bank,3.681,0.001,3.86,0.008,10:25:12,05-11-2024
bbva,bank,3.699,0.01,3.842,0.001,10:25:12,05-11-2024
bcp,bank,3.724,-0.006,3.817,0.001,10:25:12,05-11-2024
nacion,bank,3.73,0.0,3.8,0.0,10:25:12,05-11-2024
Interbank,bank,3.785,0.046,3.76,-0.039,10:25:12,05-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,10:25:12,05-11-2024
canada,currency,2.63,0.0,2.783,-0.002,10:25:12,05-11-2024
euro ocoña,currency,4.214,0.01,4.235,0.015,10:25:12,05-11-2024
Libra,currency,4.975,0.005,5.08,0.0,10:25:12,05-11-2024
scotiabank,bank,3.681,0.001,3.86,0.008,10:41:57,05-11-2024
bbva,bank,3.699,0.01,3.842,0.001,10:41:57,05-11-2024
bcp,bank,3.724,-0.006,3.817,0.001,10:41:57,05-11-2024
nacion,bank,3.73,0.0,3.8,0.0,10:41:57,05-11-2024
Interbank,bank,3.785,0.046,3.76,-0.039,10:41:57,05-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,10:41:57,05-11-2024
canada,currency,2.63,0.0,2.783,-0.002,10:41:57,05-11-2024
euro ocoña,currency,4.214,0.01,4.235,0.015,10:41:57,05-11-2024
Libra,currency,4.975,0.005,5.08,0.0,10:41:57,05-11-2024
scotiabank,bank,3.681,0.001,3.86,0.008,11:30:08,05-11-2024
bbva,bank,3.699,0.01,3.842,0.001,11:30:08,05-11-2024
bcp,bank,3.724,-0.006,3.817,0.001,11:30:08,05-11-2024
nacion,bank,3.73,0.0,3.8,0.0,11:30:08,05-11-2024
Interbank,bank,3.785,0.046,3.76,-0.039,11:30:08,05-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,11:30:08,05-11-2024
