name,type,buy_cost,buy_variation,sale_cost,sale_variation,time,day
bbva,bank,3.711,-0.028,3.885,-0.004,08:27:22,11-09-2024
scotiabank,bank,3.717,-0.011,3.896,-0.004,08:27:22,11-09-2024
Interbank,bank,3.741,-0.013,3.865,0.004,08:27:22,11-09-2024
bcp,bank,3.762,-0.009,3.849,-0.009,08:27:22,11-09-2024
nacion,bank,3.77,0.01,3.85,0.02,08:27:22,11-09-2024
Yuan,currency,0.47,0.01,0.56,0.01,08:27:22,11-09-2024
canada,currency,2.755,-0.005,2.869,0.004,08:27:22,11-09-2024
euro ocoña,currency,4.31,0.004,4.33,0.022,08:27:22,11-09-2024
Libra,currency,5.016,0.0,5.128,-0.032,08:27:22,11-09-2024
bbva,bank,3.711,-0.028,3.885,-0.004,08:41:01,11-09-2024
scotiabank,bank,3.717,-0.011,3.896,-0.004,08:41:01,11-09-2024
Interbank,bank,3.741,-0.013,3.865,0.004,08:41:01,11-09-2024
bcp,bank,3.762,-0.009,3.849,-0.009,08:41:01,11-09-2024
nacion,bank,3.77,0.01,3.85,0.02,08:41:01,11-09-2024
Yuan,currency,0.47,0.01,0.56,0.01,08:41:01,11-09-2024
canada,currency,2.755,-0.005,2.869,0.004,08:41:01,11-09-2024
euro ocoña,currency,4.31,0.004,4.33,0.022,08:41:01,11-09-2024
Libra,currency,5.016,0.0,5.128,-0.032,08:41:01,11-09-2024
