name,type,buy_cost,buy_variation,sale_cost,sale_variation,time,day
bbva,bank,3.645,-0.031,3.818,0.015,08:31:30,18-12-2024
nacion,bank,3.69,0.0,3.77,0.0,08:31:30,18-12-2024
bcp,bank,3.696,-0.001,3.782,-0.001,08:31:30,18-12-2024
Interbank,bank,3.7,-0.01,3.78,0.008,08:31:30,18-12-2024
scotiabank,bank,3.721,-0.004,3.759,0.002,08:31:30,18-12-2024
Yuan,currency,0.51,-0.01,0.58,0.0,08:31:30,18-12-2024
canada,currency,2.48,0.02,2.68,0.0,08:31:30,18-12-2024
euro ocoña,currency,4.025,-0.004,4.05,0.0,08:31:30,18-12-2024
Libra,currency,4.755,-0.015,4.885,-0.005,08:31:30,18-12-2024
bbva,bank,3.645,-0.031,3.818,0.015,08:43:46,18-12-2024
nacion,bank,3.69,0.0,3.77,0.0,08:43:46,18-12-2024
bcp,bank,3.696,-0.001,3.782,-0.001,08:43:46,18-12-2024
Interbank,bank,3.7,-0.01,3.78,0.008,08:43:46,18-12-2024
scotiabank,bank,3.721,-0.004,3.759,0.002,08:43:46,18-12-2024
Yuan,currency,0.51,-0.01,0.58,0.0,08:43:46,18-12-2024
canada,currency,2.48,0.02,2.68,0.0,08:43:46,18-12-2024
euro ocoña,currency,4.025,-0.004,4.05,0.0,08:43:46,18-12-2024
Libra,currency,4.755,-0.015,4.885,-0.005,08:43:46,18-12-2024
