name,type,buy_cost,buy_variation,sale_cost,sale_variation,time,day
bbva,bank,3.666,-0.01,3.837,0.014,08:42:56,23-09-2024
scotiabank,bank,3.67,0.008,3.849,0.017,08:42:56,23-09-2024
Interbank,bank,3.695,-0.008,3.825,0.016,08:42:56,23-09-2024
bcp,bank,3.716,0.009,3.802,0.008,08:42:56,23-09-2024
nacion,bank,3.72,0.0,3.9,0.0,08:42:56,23-09-2024
Yuan,currency,0.482,0.012,0.56,0.0,08:42:56,23-09-2024
canada,currency,2.75,0.03,2.86,0.03,08:42:56,23-09-2024
euro ocoña,currency,4.306,0.006,4.326,-0.004,08:42:56,23-09-2024
Libra,currency,5.15,0.0,5.34,0.01,08:42:56,23-09-2024
scotiabank,bank,3.674,0.004,3.849,0.0,09:23:22,23-09-2024
bbva,bank,3.688,0.022,3.837,0.0,09:23:22,23-09-2024
Interbank,bank,3.714,0.019,3.825,0.0,09:23:22,23-09-2024
bcp,bank,3.718,0.002,3.807,0.005,09:23:22,23-09-2024
nacion,bank,3.72,0.0,3.9,0.0,09:23:22,23-09-2024
Yuan,currency,0.482,0.012,0.56,0.0,09:23:22,23-09-2024
canada,currency,2.75,0.03,2.86,0.03,09:23:22,23-09-2024
euro ocoña,currency,4.306,0.006,4.326,-0.004,09:23:22,23-09-2024
Libra,currency,5.15,0.0,5.34,0.01,09:23:22,23-09-2024
scotiabank,bank,3.674,0.004,3.849,0.0,09:42:52,23-09-2024
bbva,bank,3.688,0.022,3.837,0.0,09:42:52,23-09-2024
Interbank,bank,3.714,0.019,3.825,0.0,09:42:52,23-09-2024
bcp,bank,3.718,0.002,3.807,0.005,09:42:52,23-09-2024
nacion,bank,3.72,0.0,3.9,0.0,09:42:52,23-09-2024
Yuan,currency,0.482,0.012,0.56,0.0,09:42:52,23-09-2024
canada,currency,2.75,0.03,2.86,0.03,09:42:52,23-09-2024
euro ocoña,currency,4.306,0.006,4.326,-0.004,09:42:52,23-09-2024
Libra,currency,5.15,0.0,5.34,0.01,09:42:52,23-09-2024
scotiabank,bank,3.674,0.004,3.849,0.0,10:25:08,23-09-2024
bbva,bank,3.688,0.022,3.837,0.0,10:25:08,23-09-2024
Interbank,bank,3.714,0.019,3.825,0.0,10:25:08,23-09-2024
bcp,bank,3.718,0.002,3.807,0.005,10:25:08,23-09-2024
nacion,bank,3.72,0.0,3.9,0.0,10:25:08,23-09-2024
Yuan,currency,0.482,0.012,0.56,0.0,10:25:08,23-09-2024
canada,currency,2.75,0.03,2.86,0.03,10:25:08,23-09-2024
euro ocoña,currency,4.32,0.014,4.326,0.0,10:25:08,23-09-2024
Libra,currency,5.15,0.0,5.34,0.01,10:25:08,23-09-2024
scotiabank,bank,3.674,0.004,3.849,0.0,10:40:42,23-09-2024
bbva,bank,3.688,0.022,3.837,0.0,10:40:42,23-09-2024
Interbank,bank,3.714,0.019,3.825,0.0,10:40:42,23-09-2024
bcp,bank,3.718,0.002,3.807,0.005,10:40:42,23-09-2024
nacion,bank,3.72,0.0,3.9,0.0,10:40:42,23-09-2024
Yuan,currency,0.482,0.012,0.56,0.0,10:40:42,23-09-2024
canada,currency,2.75,0.03,2.86,0.03,10:40:42,23-09-2024
euro ocoña,currency,4.32,0.014,4.326,0.0,10:40:42,23-09-2024
Libra,currency,5.15,0.0,5.34,0.01,10:40:42,23-09-2024
scotiabank,bank,3.674,0.004,3.849,0.0,11:28:51,23-09-2024
bbva,bank,3.688,0.022,3.837,0.0,11:28:51,23-09-2024
Interbank,bank,3.714,0.019,3.825,0.0,11:28:51,23-09-2024
bcp,bank,3.718,0.002,3.807,0.005,11:28:51,23-09-2024
nacion,bank,3.72,0.0,3.9,0.0,11:28:51,23-09-2024
Yuan,currency,0.482,0.012,0.56,0.0,11:28:51,23-09-2024
canada,currency,2.75,0.03,2.86,0.03,11:28:51,23-09-2024
euro ocoña,currency,4.32,0.014,4.326,0.0,11:28:51,23-09-2024
Libra,currency,5.15,0.0,5.34,0.01,11:28:51,23-09-2024
scotiabank,bank,3.674,0.004,3.849,0.0,11:47:17,23-09-2024
bbva,bank,3.688,0.022,3.837,0.0,11:47:17,23-09-2024
Interbank,bank,3.714,0.019,3.825,0.0,11:47:17,23-09-2024
bcp,bank,3.718,0.002,3.807,0.005,11:47:17,23-09-2024
nacion,bank,3.72,0.0,3.9,0.0,11:47:17,23-09-2024
Yuan,currency,0.482,0.012,0.56,0.0,11:47:17,23-09-2024
canada,currency,2.75,0.03,2.86,0.03,11:47:17,23-09-2024
euro ocoña,currency,4.32,0.014,4.326,0.0,11:47:17,23-09-2024
Libra,currency,5.15,0.0,5.34,0.01,11:47:17,23-09-2024
scotiabank,bank,3.683,0.009,3.856,0.007,12:21:56,23-09-2024
bbva,bank,3.703,0.015,3.839,0.002,12:21:56,23-09-2024
nacion,bank,3.72,0.0,3.9,0.0,12:21:56,23-09-2024
Interbank,bank,3.724,0.01,3.831,0.006,12:21:56,23-09-2024
bcp,bank,3.728,0.01,3.814,0.007,12:21:56,23-09-2024
Yuan,currency,0.482,0.012,0.56,0.0,12:21:56,23-09-2024
canada,currency,2.75,0.03,2.86,0.03,12:21:56,23-09-2024
euro ocoña,currency,4.335,0.015,4.355,0.029,12:21:56,23-09-2024
Libra,currency,5.15,0.0,5.34,0.01,12:21:56,23-09-2024
scotiabank,bank,3.683,0.009,3.856,0.007,12:41:19,23-09-2024
bbva,bank,3.703,0.015,3.839,0.002,12:41:19,23-09-2024
nacion,bank,3.72,0.0,3.9,0.0,12:41:19,23-09-2024
Interbank,bank,3.724,0.01,3.831,0.006,12:41:19,23-09-2024
bcp,bank,3.728,0.01,3.814,0.007,12:41:19,23-09-2024
Yuan,currency,0.482,0.012,0.56,0.0,12:41:19,23-09-2024
canada,currency,2.75,0.03,2.86,0.03,12:41:19,23-09-2024
euro ocoña,currency,4.335,0.015,4.355,0.029,12:41:19,23-09-2024
Libra,currency,5.15,0.0,5.34,0.01,12:41:19,23-09-2024
scotiabank,bank,3.683,0.009,3.856,0.007,13:31:37,23-09-2024
bbva,bank,3.703,0.015,3.839,0.002,13:31:37,23-09-2024
nacion,bank,3.72,0.0,3.9,0.0,13:31:37,23-09-2024
Interbank,bank,3.724,0.01,3.831,0.006,13:31:37,23-09-2024
bcp,bank,3.728,0.01,3.814,0.007,13:31:37,23-09-2024
Yuan,currency,0.482,0.012,0.56,0.0,13:31:37,23-09-2024
canada,currency,2.75,0.03,2.86,0.03,13:31:37,23-09-2024
euro ocoña,currency,4.335,0.015,4.355,0.029,13:31:37,23-09-2024
Libra,currency,5.15,0.0,5.34,0.01,13:31:37,23-09-2024
scotiabank,bank,3.683,0.009,3.856,0.007,13:46:03,23-09-2024
bbva,bank,3.703,0.015,3.839,0.002,13:46:03,23-09-2024
nacion,bank,3.72,0.0,3.9,0.0,13:46:03,23-09-2024
Interbank,bank,3.724,0.01,3.831,0.006,13:46:03,23-09-2024
bcp,bank,3.728,0.01,3.814,0.007,13:46:03,23-09-2024
Yuan,currency,0.482,0.012,0.56,0.0,13:46:03,23-09-2024
canada,currency,2.75,0.03,2.86,0.03,13:46:03,23-09-2024
euro ocoña,currency,4.335,0.015,4.355,0.029,13:46:03,23-09-2024
Libra,currency,5.15,0.0,5.34,0.01,13:46:03,23-09-2024
bbva,bank,3.679,-0.024,3.852,0.013,14:19:52,23-09-2024
scotiabank,bank,3.688,0.005,3.864,0.008,14:19:52,23-09-2024
Interbank,bank,3.72,-0.004,3.845,0.014,14:19:52,23-09-2024
nacion,bank,3.72,0.0,3.9,0.0,14:19:52,23-09-2024
bcp,bank,3.734,0.006,3.822,0.008,14:19:52,23-09-2024
Yuan,currency,0.482,0.012,0.56,0.0,14:19:52,23-09-2024
canada,currency,2.75,0.03,2.86,0.03,14:19:52,23-09-2024
euro ocoña,currency,4.34,0.005,4.36,0.005,14:19:52,23-09-2024
Libra,currency,5.15,0.0,5.34,0.01,14:19:52,23-09-2024
bbva,bank,3.679,-0.024,3.852,0.013,14:40:07,23-09-2024
scotiabank,bank,3.688,0.005,3.864,0.008,14:40:07,23-09-2024
Interbank,bank,3.72,-0.004,3.845,0.014,14:40:07,23-09-2024
nacion,bank,3.72,0.0,3.9,0.0,14:40:07,23-09-2024
bcp,bank,3.734,0.006,3.822,0.008,14:40:07,23-09-2024
Yuan,currency,0.482,0.012,0.56,0.0,14:40:07,23-09-2024
canada,currency,2.75,0.03,2.86,0.03,14:40:07,23-09-2024
euro ocoña,currency,4.34,0.005,4.36,0.005,14:40:07,23-09-2024
Libra,currency,5.15,0.0,5.34,0.01,14:40:07,23-09-2024
bbva,bank,3.679,-0.024,3.852,0.013,15:26:06,23-09-2024
scotiabank,bank,3.688,0.005,3.864,0.008,15:26:06,23-09-2024
Interbank,bank,3.72,-0.004,3.845,0.014,15:26:06,23-09-2024
nacion,bank,3.72,0.0,3.9,0.0,15:26:06,23-09-2024
bcp,bank,3.734,0.006,3.822,0.008,15:26:06,23-09-2024
Yuan,currency,0.482,0.012,0.56,0.0,15:26:06,23-09-2024
canada,currency,2.75,0.03,2.86,0.03,15:26:06,23-09-2024
euro ocoña,currency,4.34,0.005,4.36,0.005,15:26:06,23-09-2024
Libra,currency,5.15,0.0,5.34,0.01,15:26:06,23-09-2024
bbva,bank,3.679,-0.024,3.852,0.013,15:42:22,23-09-2024
scotiabank,bank,3.688,0.005,3.864,0.008,15:42:22,23-09-2024
Interbank,bank,3.72,-0.004,3.845,0.014,15:42:22,23-09-2024
nacion,bank,3.72,0.0,3.9,0.0,15:42:22,23-09-2024
bcp,bank,3.734,0.006,3.822,0.008,15:42:22,23-09-2024
Yuan,currency,0.482,0.012,0.56,0.0,15:42:22,23-09-2024
canada,currency,2.75,0.03,2.86,0.03,15:42:22,23-09-2024
euro ocoña,currency,4.34,0.005,4.36,0.005,15:42:22,23-09-2024
Libra,currency,5.15,0.0,5.34,0.01,15:42:22,23-09-2024
bbva,bank,3.679,-0.024,3.852,0.013,16:21:50,23-09-2024
scotiabank,bank,3.688,0.005,3.864,0.008,16:21:50,23-09-2024
Interbank,bank,3.72,-0.004,3.845,0.014,16:21:50,23-09-2024
nacion,bank,3.72,0.0,3.9,0.0,16:21:50,23-09-2024
bcp,bank,3.734,0.006,3.822,0.008,16:21:50,23-09-2024
Yuan,currency,0.482,0.012,0.56,0.0,16:21:50,23-09-2024
canada,currency,2.75,0.03,2.86,0.03,16:21:50,23-09-2024
euro ocoña,currency,4.34,0.005,4.36,0.005,16:21:50,23-09-2024
Libra,currency,5.15,0.0,5.34,0.01,16:21:50,23-09-2024
bbva,bank,3.679,-0.024,3.852,0.013,16:40:04,23-09-2024
scotiabank,bank,3.688,0.005,3.864,0.008,16:40:04,23-09-2024
Interbank,bank,3.72,-0.004,3.845,0.014,16:40:04,23-09-2024
nacion,bank,3.72,0.0,3.9,0.0,16:40:04,23-09-2024
bcp,bank,3.734,0.006,3.822,0.008,16:40:04,23-09-2024
Yuan,currency,0.482,0.012,0.56,0.0,16:40:04,23-09-2024
canada,currency,2.75,0.03,2.86,0.03,16:40:04,23-09-2024
euro ocoña,currency,4.34,0.005,4.36,0.005,16:40:04,23-09-2024
Libra,currency,5.15,0.0,5.34,0.01,16:40:04,23-09-2024
bbva,bank,3.679,-0.024,3.852,0.013,17:24:13,23-09-2024
scotiabank,bank,3.688,0.005,3.864,0.008,17:24:13,23-09-2024
Interbank,bank,3.72,-0.004,3.845,0.014,17:24:13,23-09-2024
