name,type,buy_cost,buy_variation,sale_cost,sale_variation,time,day
scotiabank,bank,3.681,0.0,3.868,0.008,08:28:39,06-11-2024
bbva,bank,3.689,-0.02,3.841,0.004,08:28:39,06-11-2024
bcp,bank,3.726,-0.005,3.82,0.003,08:28:39,06-11-2024
nacion,bank,3.73,0.0,3.8,0.0,08:28:39,06-11-2024
Interbank,bank,3.745,-0.008,3.805,0.011,08:28:39,06-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,08:28:39,06-11-2024
canada,currency,2.63,0.0,2.783,-0.002,08:28:39,06-11-2024
euro ocoña,currency,4.22,0.006,4.24,0.005,08:28:39,06-11-2024
Libra,currency,4.975,0.005,5.08,0.0,08:28:39,06-11-2024
scotiabank,bank,3.681,0.0,3.868,0.008,08:41:48,06-11-2024
bbva,bank,3.689,-0.02,3.841,0.004,08:41:48,06-11-2024
bcp,bank,3.726,-0.005,3.82,0.003,08:41:48,06-11-2024
nacion,bank,3.73,0.0,3.8,0.0,08:41:48,06-11-2024
Interbank,bank,3.745,-0.008,3.805,0.011,08:41:48,06-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,08:41:48,06-11-2024
canada,currency,2.63,0.0,2.783,-0.002,08:41:48,06-11-2024
euro ocoña,currency,4.22,0.006,4.24,0.005,08:41:48,06-11-2024
Libra,currency,4.975,0.005,5.08,0.0,08:41:48,06-11-2024
scotiabank,bank,3.681,0.0,3.868,0.008,09:23:05,06-11-2024
bbva,bank,3.722,0.033,3.857,0.016,09:23:05,06-11-2024
nacion,bank,3.73,0.0,3.8,0.0,09:23:05,06-11-2024
bcp,bank,3.743,0.017,3.836,0.016,09:23:05,06-11-2024
Interbank,bank,3.765,0.02,3.815,0.01,09:23:05,06-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,09:23:05,06-11-2024
canada,currency,2.63,0.0,2.783,-0.002,09:23:05,06-11-2024
euro ocoña,currency,4.22,0.006,4.24,0.005,09:23:05,06-11-2024
Libra,currency,4.975,0.005,5.08,0.0,09:23:05,06-11-2024
bbva,bank,3.722,0.033,3.857,0.016,09:42:36,06-11-2024
bcp,bank,3.743,0.017,3.836,0.016,09:42:36,06-11-2024
nacion,bank,3.76,0.03,3.83,0.03,09:42:36,06-11-2024
Interbank,bank,3.765,0.02,3.815,0.01,09:42:36,06-11-2024
scotiabank,bank,3.773,0.092,3.802,-0.066,09:42:36,06-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,09:42:36,06-11-2024
canada,currency,2.63,0.0,2.783,-0.002,09:42:36,06-11-2024
euro ocoña,currency,4.22,0.006,4.24,0.005,09:42:36,06-11-2024
Libra,currency,4.975,0.005,5.08,0.0,09:42:36,06-11-2024
bbva,bank,3.722,0.033,3.857,0.016,10:25:14,06-11-2024
bcp,bank,3.743,0.017,3.836,0.016,10:25:14,06-11-2024
nacion,bank,3.76,0.03,3.83,0.03,10:25:14,06-11-2024
Interbank,bank,3.765,0.02,3.815,0.01,10:25:14,06-11-2024
scotiabank,bank,3.773,0.092,3.802,-0.066,10:25:14,06-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,10:25:14,06-11-2024
canada,currency,2.63,0.0,2.783,-0.002,10:25:14,06-11-2024
euro ocoña,currency,4.175,-0.045,4.195,-0.045,10:25:14,06-11-2024
Libra,currency,4.975,0.005,5.08,0.0,10:25:14,06-11-2024
bbva,bank,3.722,0.033,3.857,0.016,10:42:09,06-11-2024
bcp,bank,3.743,0.017,3.836,0.016,10:42:09,06-11-2024
nacion,bank,3.76,0.03,3.83,0.03,10:42:09,06-11-2024
Interbank,bank,3.765,0.02,3.815,0.01,10:42:09,06-11-2024
scotiabank,bank,3.773,0.092,3.802,-0.066,10:42:09,06-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,10:42:09,06-11-2024
canada,currency,2.63,0.0,2.783,-0.002,10:42:09,06-11-2024
euro ocoña,currency,4.175,-0.045,4.195,-0.045,10:42:09,06-11-2024
Libra,currency,4.975,0.005,5.08,0.0,10:42:09,06-11-2024
bbva,bank,3.722,0.033,3.857,0.016,11:29:03,06-11-2024
bcp,bank,3.743,0.017,3.836,0.016,11:29:03,06-11-2024
nacion,bank,3.76,0.03,3.83,0.03,11:29:03,06-11-2024
Interbank,bank,3.765,0.02,3.815,0.01,11:29:03,06-11-2024
scotiabank,bank,3.773,0.092,3.802,-0.066,11:29:03,06-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,11:29:03,06-11-2024
canada,currency,2.63,0.0,2.783,-0.002,11:29:03,06-11-2024
euro ocoña,currency,4.175,-0.045,4.195,-0.045,11:29:03,06-11-2024
Libra,currency,4.975,0.005,5.08,0.0,11:29:03,06-11-2024
bbva,bank,3.722,0.033,3.857,0.016,11:46:06,06-11-2024
bcp,bank,3.743,0.017,3.836,0.016,11:46:06,06-11-2024
nacion,bank,3.76,0.03,3.83,0.03,11:46:06,06-11-2024
Interbank,bank,3.765,0.02,3.815,0.01,11:46:06,06-11-2024
scotiabank,bank,3.773,0.092,3.802,-0.066,11:46:06,06-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,11:46:06,06-11-2024
canada,currency,2.63,0.0,2.783,-0.002,11:46:06,06-11-2024
euro ocoña,currency,4.175,-0.045,4.195,-0.045,11:46:06,06-11-2024
Libra,currency,4.975,0.005,5.08,0.0,11:46:06,06-11-2024
