name,type,buy_cost,buy_variation,sale_cost,sale_variation,time,day
bbva,bank,3.705,-0.028,3.867,0.007,08:32:20,21-11-2024
bcp,bank,3.756,0.002,3.841,0.002,08:32:20,21-11-2024
Interbank,bank,3.76,-0.006,3.84,0.013,08:32:20,21-11-2024
nacion,bank,3.76,0.0,3.83,0.0,08:32:20,21-11-2024
scotiabank,bank,3.784,0.003,3.809,0.0,08:32:20,21-11-2024
Yuan,currency,0.5,0.0,0.585,0.0,08:32:20,21-11-2024
canada,currency,2.5,0.0,2.72,0.0,08:32:20,21-11-2024
euro ocoña,currency,4.12,-0.015,4.14,-0.015,08:32:20,21-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,08:32:20,21-11-2024
bbva,bank,3.705,-0.028,3.867,0.007,08:44:43,21-11-2024
bcp,bank,3.756,0.002,3.841,0.002,08:44:43,21-11-2024
Interbank,bank,3.76,-0.006,3.84,0.013,08:44:43,21-11-2024
nacion,bank,3.76,0.0,3.83,0.0,08:44:43,21-11-2024
scotiabank,bank,3.784,0.003,3.809,0.0,08:44:43,21-11-2024
Yuan,currency,0.5,0.0,0.585,0.0,08:44:43,21-11-2024
canada,currency,2.5,0.0,2.72,0.0,08:44:43,21-11-2024
euro ocoña,currency,4.12,-0.015,4.14,-0.015,08:44:43,21-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,08:44:43,21-11-2024
bbva,bank,3.732,0.027,3.861,-0.006,09:25:02,21-11-2024
bcp,bank,3.754,-0.002,3.84,-0.001,09:25:02,21-11-2024
nacion,bank,3.76,0.0,3.83,0.0,09:25:02,21-11-2024
Interbank,bank,3.767,0.007,3.828,-0.012,09:25:02,21-11-2024
scotiabank,bank,3.784,0.0,3.81,0.001,09:25:02,21-11-2024
Yuan,currency,0.5,0.0,0.585,0.0,09:25:02,21-11-2024
canada,currency,2.5,0.0,2.72,0.0,09:25:02,21-11-2024
euro ocoña,currency,4.12,-0.015,4.14,-0.015,09:25:02,21-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,09:25:02,21-11-2024
bbva,bank,3.732,0.027,3.861,-0.006,09:44:35,21-11-2024
bcp,bank,3.754,-0.002,3.84,-0.001,09:44:35,21-11-2024
nacion,bank,3.76,0.0,3.83,0.0,09:44:35,21-11-2024
Interbank,bank,3.767,0.007,3.828,-0.012,09:44:35,21-11-2024
scotiabank,bank,3.784,0.0,3.81,0.001,09:44:35,21-11-2024
Yuan,currency,0.5,0.0,0.585,0.0,09:44:35,21-11-2024
canada,currency,2.5,0.0,2.72,0.0,09:44:35,21-11-2024
euro ocoña,currency,4.12,-0.015,4.14,-0.015,09:44:35,21-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,09:44:35,21-11-2024
bbva,bank,3.732,0.027,3.861,-0.006,10:26:39,21-11-2024
bcp,bank,3.754,-0.002,3.84,-0.001,10:26:39,21-11-2024
nacion,bank,3.76,0.0,3.83,0.0,10:26:39,21-11-2024
Interbank,bank,3.767,0.007,3.828,-0.012,10:26:39,21-11-2024
scotiabank,bank,3.784,0.0,3.81,0.001,10:26:39,21-11-2024
Yuan,currency,0.5,0.0,0.585,0.0,10:26:39,21-11-2024
canada,currency,2.5,0.0,2.72,0.0,10:26:39,21-11-2024
euro ocoña,currency,4.12,-0.015,4.14,-0.015,10:26:39,21-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,10:26:39,21-11-2024
bbva,bank,3.732,0.027,3.861,-0.006,10:44:01,21-11-2024
bcp,bank,3.754,-0.002,3.84,-0.001,10:44:01,21-11-2024
nacion,bank,3.76,0.0,3.83,0.0,10:44:01,21-11-2024
Interbank,bank,3.767,0.007,3.828,-0.012,10:44:01,21-11-2024
scotiabank,bank,3.784,0.0,3.81,0.001,10:44:01,21-11-2024
Yuan,currency,0.5,0.0,0.585,0.0,10:44:01,21-11-2024
canada,currency,2.5,0.0,2.72,0.0,10:44:01,21-11-2024
euro ocoña,currency,4.12,-0.015,4.14,-0.015,10:44:01,21-11-2024
Libra,currency,4.81,-0.11,5.0,-0.06,10:44:01,21-11-2024
bbva,bank,3.732,0.027,3.861,-0.006,11:31:52,21-11-2024
bcp,bank,3.754,-0.002,3.84,-0.001,11:31:52,21-11-2024
